Year,avg_temp,11-Year Mov_Avg
1843,24.74,
1844,15.45,
1845,20.82,
1848,15.45,
1849,15.45,
1850,24.56,
1851,24.8,
1852,24.34,
1853,25.03,
1854,24.85,
1855,24.93,21.85636364
1856,24.72,21.85454545
1857,24.92,22.71545455
1858,24.57,23.05636364
1859,24.26,23.85727273
1860,25.01,24.72636364
1861,24.95,24.76181818
1862,24.94,24.77454545
1863,24.13,24.75545455
1864,23.77,24.64090909
1865,24.28,24.58909091
1866,25.03,24.59818182
1867,25.23,24.64454545
1868,24.92,24.64454545
1869,25.22,24.70363636
1870,25,24.77090909
1871,25.3,24.79727273
1872,25.02,24.80363636
1873,24.73,24.78454545
1874,24.87,24.85181818
1875,25.24,24.98545455
1876,24.98,25.04909091
1877,24.43,24.99454545
1878,24.89,24.96363636
1879,25.47,25.01363636
1880,25.51,25.04
1881,25.24,25.06181818
1882,24.8,25.01636364
1883,25.63,25.07181818
1884,24.66,25.06545455
1885,25.19,25.09454545
1886,24.8,25.05454545
1887,24.98,25.05454545
1888,24.98,25.10454545
1889,24.81,25.09727273
1890,25.13,25.06636364
1891,25.52,25.06727273
1892,25.07,25.05181818
1893,25.39,25.10545455
1894,25.22,25.06818182
1895,25.19,25.11636364
1896,24.66,25.06818182
1897,24.69,25.05818182
1898,24.88,25.04909091
1899,24.86,25.03818182
1900,24.88,25.04454545
1901,25.12,25.04363636
1902,25.29,25.02272727
1903,25.55,25.06636364
1904,25.25,25.05363636
1905,24.64,25.00090909
1906,25.07,24.99
1907,24.87,25.00909091
1908,24.85,25.02363636
1909,24.44,24.98363636
1910,24.95,24.99181818
1911,25.57,25.05454545
1912,24.75,25.02090909
1913,24.24,24.92545455
1914,24.96,24.87181818
1915,24.63,24.81545455
1916,24.94,24.84272727
1917,25.38,24.87090909
1918,24.85,24.86909091
1919,25.03,24.88545455
1920,24.66,24.90545455
1921,25.39,24.94545455
1922,24.94,24.88818182
1923,24.84,24.89636364
1924,25.35,24.99727273
1925,25.1,25.01
1926,25.69,25.10636364
1927,25,25.11181818
1928,25.19,25.09454545
1929,25.29,25.13454545
1930,25.39,25.16727273
1931,25.36,25.23090909
1932,25.39,25.23090909
1933,25.38,25.27090909
1934,24.96,25.28181818
1935,24.67,25.22
1936,24.97,25.20818182
1937,25.61,25.20090909
1938,25.15,25.21454545
1939,25.08,25.20454545
1940,25.11,25.18818182
1941,25.16,25.16727273
1942,25.51,25.18090909
1943,25.37,25.17909091
1944,25.49,25.18909091
1945,24.96,25.18909091
1946,25.6,25.27363636
1947,25.3,25.30363636
1948,25.49,25.29272727
1949,26,25.37
1950,24.85,25.34909091
1951,24.82,25.32272727
1952,24.98,25.30636364
1953,26.1,25.36
1954,25.72,25.39181818
1955,25.51,25.39363636
1956,25.8,25.47
1957,25.33,25.44545455
1958,25.02,25.42
1959,24.69,25.34727273
1960,25.64,25.31454545
1961,24.14,25.25
1962,25.67,25.32727273
1963,25.12,25.34
1964,26.1,25.34
1965,25.54,25.32363636
1966,25.14,25.29
1967,25.59,25.27090909
1968,26.16,25.34636364
1969,24.87,25.33272727
1970,25.21,25.38
1971,26.05,25.41727273
1972,25.84,25.57181818
1973,24.93,25.50454545
1974,24.74,25.47
1975,25.6,25.42454545
1976,25.4,25.41181818
1977,25.04,25.40272727
1978,24.97,25.34636364
1979,25.99,25.33090909
1980,25.95,25.42909091
1981,26.2,25.51909091
1982,25.83,25.49909091
1983,25.95,25.50909091
1984,24.62,25.48090909
1985,24.85,25.49090909
1986,25.05,25.44090909
1987,25.3,25.43181818
1988,25.36,25.46090909
1989,26.37,25.58818182
1990,25.99,25.58818182
1991,25.05,25.50636364
1992,25.7,25.46090909
1993,25.43,25.42454545
1994,24.37,25.28090909
1995,25.42,25.35363636
1996,26.08,25.46545455
1997,25.64,25.51909091
1998,26.28,25.60818182
1999,25.49,25.62
2000,26.73,25.65272727
2001,26.92,25.73727273
2002,26.55,25.87363636
2003,26.67,25.96181818
2004,26.44,26.05363636
2005,26.62,26.25818182
2006,26.2,26.32909091
2007,26.27,26.34636364
2008,26.24,26.40090909
2009,26.49,26.42
2010,26.21,26.48545455
2011,26.71,26.48363636
2012,27.37,26.52454545
2013,26.4,26.51090909
,26.83,
,27.78,
